timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/02/25 12:37:29.648, 0 %, 0 %, 2 MiB
2025/02/25 12:37:29.649, 0 %, 0 %, 2 MiB
2025/02/25 12:37:30.650, 0 %, 0 %, 2 MiB
2025/02/25 12:37:30.650, 0 %, 0 %, 2 MiB
2025/02/25 12:37:31.651, 0 %, 0 %, 5 MiB
2025/02/25 12:37:31.651, 0 %, 0 %, 5 MiB
2025/02/25 12:37:32.652, 0 %, 0 %, 5 MiB
2025/02/25 12:37:32.653, 0 %, 0 %, 5 MiB
2025/02/25 12:37:33.653, 0 %, 0 %, 5 MiB
2025/02/25 12:37:33.654, 0 %, 0 %, 5 MiB
2025/02/25 12:37:34.655, 0 %, 0 %, 5 MiB
2025/02/25 12:37:34.655, 0 %, 0 %, 5 MiB
2025/02/25 12:37:35.656, 0 %, 0 %, 5 MiB
2025/02/25 12:37:35.657, 0 %, 0 %, 5 MiB
2025/02/25 12:37:36.657, 0 %, 0 %, 5 MiB
2025/02/25 12:37:36.658, 0 %, 0 %, 5 MiB
2025/02/25 12:37:37.659, 0 %, 0 %, 5 MiB
2025/02/25 12:37:37.659, 0 %, 0 %, 5 MiB
2025/02/25 12:37:38.660, 49 %, 1 %, 3133 MiB
2025/02/25 12:37:38.661, 0 %, 0 %, 393 MiB
2025/02/25 12:37:39.661, 44 %, 1 %, 6371 MiB
2025/02/25 12:37:39.662, 0 %, 0 %, 3483 MiB
2025/02/25 12:37:40.662, 0 %, 0 %, 6821 MiB
2025/02/25 12:37:40.663, 55 %, 1 %, 6607 MiB
2025/02/25 12:37:41.663, 0 %, 0 %, 6883 MiB
2025/02/25 12:37:41.664, 0 %, 0 %, 6821 MiB
2025/02/25 12:37:42.665, 17 %, 7 %, 7173 MiB
2025/02/25 12:37:42.665, 15 %, 14 %, 7191 MiB
2025/02/25 12:37:43.666, 19 %, 17 %, 7173 MiB
2025/02/25 12:37:43.666, 20 %, 18 %, 7191 MiB
2025/02/25 12:37:44.667, 20 %, 18 %, 7293 MiB
2025/02/25 12:37:44.668, 18 %, 16 %, 7291 MiB
2025/02/25 12:37:45.669, 18 %, 16 %, 7293 MiB
2025/02/25 12:37:45.669, 17 %, 16 %, 7291 MiB
2025/02/25 12:37:46.670, 20 %, 18 %, 7293 MiB
2025/02/25 12:37:46.670, 21 %, 19 %, 7291 MiB
2025/02/25 12:37:47.671, 25 %, 22 %, 7389 MiB
2025/02/25 12:37:47.672, 29 %, 26 %, 7387 MiB
2025/02/25 12:37:48.672, 26 %, 23 %, 7725 MiB
2025/02/25 12:37:48.677, 27 %, 24 %, 7723 MiB
2025/02/25 12:37:49.678, 28 %, 24 %, 7725 MiB
2025/02/25 12:37:49.679, 28 %, 25 %, 7723 MiB
2025/02/25 12:37:50.679, 30 %, 26 %, 8109 MiB
2025/02/25 12:37:50.680, 31 %, 27 %, 8107 MiB
2025/02/25 12:37:51.680, 28 %, 24 %, 8541 MiB
2025/02/25 12:37:51.681, 28 %, 25 %, 8539 MiB
2025/02/25 12:37:52.682, 31 %, 27 %, 9021 MiB
2025/02/25 12:37:52.683, 32 %, 28 %, 9019 MiB
2025/02/25 12:37:53.683, 26 %, 23 %, 9747 MiB
2025/02/25 12:37:53.684, 26 %, 23 %, 9745 MiB
2025/02/25 12:37:54.684, 32 %, 28 %, 9747 MiB
2025/02/25 12:37:54.685, 31 %, 28 %, 9745 MiB
2025/02/25 12:37:55.686, 30 %, 27 %, 10539 MiB
2025/02/25 12:37:55.686, 31 %, 27 %, 10537 MiB
2025/02/25 12:37:56.687, 35 %, 32 %, 11397 MiB
2025/02/25 12:37:56.687, 36 %, 33 %, 11395 MiB
2025/02/25 12:37:57.688, 31 %, 28 %, 12321 MiB
2025/02/25 12:37:57.689, 32 %, 29 %, 12319 MiB
2025/02/25 12:37:58.690, 22 %, 20 %, 13311 MiB
2025/02/25 12:37:58.691, 19 %, 18 %, 13309 MiB
2025/02/25 12:37:59.692, 33 %, 31 %, 13311 MiB
2025/02/25 12:37:59.693, 33 %, 31 %, 13309 MiB
2025/02/25 12:38:00.693, 36 %, 34 %, 14367 MiB
2025/02/25 12:38:00.694, 38 %, 36 %, 14365 MiB
2025/02/25 12:38:01.694, 36 %, 33 %, 15489 MiB
2025/02/25 12:38:01.695, 35 %, 33 %, 15487 MiB
2025/02/25 12:38:02.696, 33 %, 31 %, 16677 MiB
2025/02/25 12:38:02.696, 33 %, 31 %, 16675 MiB
2025/02/25 12:38:03.697, 33 %, 31 %, 17931 MiB
2025/02/25 12:38:03.698, 34 %, 32 %, 17929 MiB
2025/02/25 12:38:04.698, 33 %, 32 %, 19211 MiB
2025/02/25 12:38:04.699, 35 %, 34 %, 17969 MiB
2025/02/25 12:38:05.700, 33 %, 31 %, 19251 MiB
2025/02/25 12:38:05.700, 32 %, 31 %, 19249 MiB
2025/02/25 12:38:06.701, 37 %, 35 %, 20637 MiB
2025/02/25 12:38:06.701, 38 %, 36 %, 20635 MiB
2025/02/25 12:38:07.702, 40 %, 38 %, 22089 MiB
2025/02/25 12:38:07.703, 41 %, 40 %, 22087 MiB
2025/02/25 12:38:08.703, 41 %, 40 %, 23607 MiB
2025/02/25 12:38:08.704, 41 %, 40 %, 23605 MiB
2025/02/25 12:38:09.705, 83 %, 8 %, 12373 MiB
2025/02/25 12:38:09.706, 6 %, 7 %, 23605 MiB
2025/02/25 12:38:10.707, 40 %, 39 %, 9425 MiB
2025/02/25 12:38:10.708, 39 %, 39 %, 9423 MiB
2025/02/25 12:38:11.709, 41 %, 40 %, 11075 MiB
2025/02/25 12:38:11.710, 40 %, 40 %, 11073 MiB
2025/02/25 12:38:12.710, 38 %, 37 %, 12791 MiB
2025/02/25 12:38:12.711, 38 %, 38 %, 12789 MiB
2025/02/25 12:38:13.711, 36 %, 36 %, 14519 MiB
2025/02/25 12:38:13.733, 37 %, 37 %, 14355 MiB
2025/02/25 12:38:14.734, 38 %, 38 %, 14573 MiB
2025/02/25 12:38:14.735, 38 %, 38 %, 14571 MiB
2025/02/25 12:38:15.735, 38 %, 38 %, 16421 MiB
2025/02/25 12:38:15.736, 39 %, 39 %, 16419 MiB
2025/02/25 12:38:16.737, 39 %, 39 %, 18335 MiB
2025/02/25 12:38:16.737, 39 %, 40 %, 18333 MiB
2025/02/25 12:38:17.738, 39 %, 39 %, 20315 MiB
2025/02/25 12:38:17.739, 40 %, 40 %, 20313 MiB
2025/02/25 12:38:18.739, 40 %, 40 %, 22299 MiB
2025/02/25 12:38:18.740, 41 %, 41 %, 21057 MiB
2025/02/25 12:38:19.741, 40 %, 40 %, 22361 MiB
2025/02/25 12:38:19.742, 41 %, 41 %, 22359 MiB
2025/02/25 12:38:20.743, 21 %, 21 %, 9281 MiB
2025/02/25 12:38:20.744, 70 %, 19 %, 9217 MiB
2025/02/25 12:38:21.745, 41 %, 41 %, 9413 MiB
2025/02/25 12:38:21.746, 41 %, 42 %, 9217 MiB
2025/02/25 12:38:22.746, 42 %, 42 %, 11459 MiB
2025/02/25 12:38:22.747, 42 %, 43 %, 11395 MiB
2025/02/25 12:38:23.747, 42 %, 42 %, 13703 MiB
2025/02/25 12:38:23.748, 42 %, 43 %, 13639 MiB
2025/02/25 12:38:24.749, 25 %, 23 %, 16013 MiB
2025/02/25 12:38:24.749, 26 %, 24 %, 15949 MiB
2025/02/25 12:38:25.750, 26 %, 23 %, 16013 MiB
2025/02/25 12:38:25.751, 26 %, 24 %, 15949 MiB
2025/02/25 12:38:26.751, 20 %, 18 %, 16013 MiB
2025/02/25 12:38:26.752, 21 %, 19 %, 15949 MiB
2025/02/25 12:38:27.753, 18 %, 16 %, 16013 MiB
2025/02/25 12:38:27.753, 20 %, 18 %, 15949 MiB
2025/02/25 12:38:28.754, 19 %, 16 %, 16013 MiB
2025/02/25 12:38:28.755, 18 %, 17 %, 15949 MiB
2025/02/25 12:38:29.755, 31 %, 28 %, 16013 MiB
2025/02/25 12:38:29.756, 32 %, 29 %, 15949 MiB
2025/02/25 12:38:30.757, 31 %, 27 %, 16013 MiB
2025/02/25 12:38:30.758, 31 %, 28 %, 15949 MiB
2025/02/25 12:38:31.759, 31 %, 27 %, 16013 MiB
2025/02/25 12:38:31.760, 31 %, 28 %, 15949 MiB
2025/02/25 12:38:32.761, 33 %, 29 %, 16013 MiB
2025/02/25 12:38:32.762, 33 %, 30 %, 15949 MiB
2025/02/25 12:38:33.762, 30 %, 26 %, 16013 MiB
2025/02/25 12:38:33.763, 29 %, 26 %, 15949 MiB
2025/02/25 12:38:34.764, 29 %, 26 %, 16013 MiB
2025/02/25 12:38:34.764, 31 %, 28 %, 15949 MiB
2025/02/25 12:38:35.765, 30 %, 27 %, 16013 MiB
2025/02/25 12:38:35.766, 31 %, 28 %, 15949 MiB
2025/02/25 12:38:36.766, 33 %, 30 %, 16013 MiB
2025/02/25 12:38:36.767, 33 %, 30 %, 15949 MiB
2025/02/25 12:38:37.767, 34 %, 31 %, 16013 MiB
2025/02/25 12:38:37.768, 34 %, 32 %, 15949 MiB
2025/02/25 12:38:38.769, 35 %, 32 %, 16013 MiB
2025/02/25 12:38:38.769, 36 %, 33 %, 15949 MiB
2025/02/25 12:38:39.770, 37 %, 34 %, 16013 MiB
2025/02/25 12:38:39.771, 38 %, 35 %, 15949 MiB
2025/02/25 12:38:40.772, 37 %, 34 %, 16013 MiB
2025/02/25 12:38:40.773, 36 %, 34 %, 15949 MiB
2025/02/25 12:38:41.774, 32 %, 30 %, 16013 MiB
2025/02/25 12:38:41.774, 33 %, 31 %, 15949 MiB
2025/02/25 12:38:42.775, 38 %, 35 %, 16013 MiB
2025/02/25 12:38:42.776, 37 %, 35 %, 15949 MiB
2025/02/25 12:38:43.777, 28 %, 26 %, 16013 MiB
2025/02/25 12:38:43.777, 29 %, 27 %, 15949 MiB
2025/02/25 12:38:44.778, 33 %, 32 %, 16013 MiB
2025/02/25 12:38:44.779, 34 %, 32 %, 15949 MiB
2025/02/25 12:38:45.779, 33 %, 31 %, 16013 MiB
2025/02/25 12:38:45.780, 33 %, 32 %, 15949 MiB
2025/02/25 12:38:46.781, 38 %, 37 %, 16013 MiB
2025/02/25 12:38:46.781, 40 %, 39 %, 15949 MiB
2025/02/25 12:38:47.782, 39 %, 37 %, 16013 MiB
2025/02/25 12:38:47.783, 39 %, 37 %, 15949 MiB
2025/02/25 12:38:48.783, 39 %, 37 %, 16013 MiB
2025/02/25 12:38:48.784, 40 %, 39 %, 15949 MiB
2025/02/25 12:38:49.785, 37 %, 37 %, 16013 MiB
2025/02/25 12:38:49.785, 37 %, 36 %, 15949 MiB
2025/02/25 12:38:50.786, 39 %, 38 %, 16013 MiB
2025/02/25 12:38:50.787, 40 %, 40 %, 15949 MiB
2025/02/25 12:38:51.787, 41 %, 40 %, 16013 MiB
2025/02/25 12:38:51.788, 42 %, 42 %, 15949 MiB
2025/02/25 12:38:52.790, 43 %, 43 %, 16013 MiB
2025/02/25 12:38:52.791, 45 %, 45 %, 15949 MiB
2025/02/25 12:38:53.792, 40 %, 40 %, 16013 MiB
2025/02/25 12:38:53.792, 39 %, 39 %, 15949 MiB
2025/02/25 12:38:54.793, 41 %, 41 %, 16013 MiB
2025/02/25 12:38:54.793, 43 %, 43 %, 15949 MiB
2025/02/25 12:38:55.794, 45 %, 45 %, 16013 MiB
2025/02/25 12:38:55.795, 45 %, 46 %, 15949 MiB
2025/02/25 12:38:56.795, 42 %, 42 %, 16013 MiB
2025/02/25 12:38:56.796, 42 %, 42 %, 15949 MiB
2025/02/25 12:38:57.797, 42 %, 42 %, 16013 MiB
2025/02/25 12:38:57.797, 43 %, 43 %, 15949 MiB
2025/02/25 12:38:58.798, 46 %, 47 %, 16013 MiB
2025/02/25 12:38:58.799, 45 %, 46 %, 15949 MiB
2025/02/25 12:38:59.799, 40 %, 41 %, 16013 MiB
2025/02/25 12:38:59.800, 41 %, 41 %, 15949 MiB
2025/02/25 12:39:00.800, 47 %, 47 %, 16013 MiB
2025/02/25 12:39:00.801, 46 %, 47 %, 15949 MiB
2025/02/25 12:39:01.802, 42 %, 42 %, 16013 MiB
2025/02/25 12:39:01.802, 42 %, 43 %, 15949 MiB
2025/02/25 12:39:02.803, 48 %, 48 %, 16013 MiB
2025/02/25 12:39:02.804, 48 %, 49 %, 15949 MiB
2025/02/25 12:39:03.805, 43 %, 43 %, 16013 MiB
2025/02/25 12:39:03.806, 45 %, 45 %, 15949 MiB
2025/02/25 12:39:04.807, 29 %, 26 %, 16013 MiB
2025/02/25 12:39:04.808, 29 %, 27 %, 15949 MiB
2025/02/25 12:39:05.809, 25 %, 22 %, 16013 MiB
2025/02/25 12:39:05.809, 26 %, 24 %, 15949 MiB
2025/02/25 12:39:06.810, 26 %, 23 %, 16013 MiB
2025/02/25 12:39:06.810, 26 %, 23 %, 15949 MiB
2025/02/25 12:39:07.811, 27 %, 23 %, 16013 MiB
2025/02/25 12:39:07.812, 27 %, 24 %, 15949 MiB
2025/02/25 12:39:08.812, 27 %, 24 %, 16013 MiB
2025/02/25 12:39:08.813, 28 %, 26 %, 15949 MiB
2025/02/25 12:39:09.813, 27 %, 24 %, 16013 MiB
2025/02/25 12:39:09.814, 27 %, 25 %, 15949 MiB
2025/02/25 12:39:10.815, 28 %, 24 %, 16013 MiB
2025/02/25 12:39:10.815, 28 %, 25 %, 15949 MiB
2025/02/25 12:39:11.816, 33 %, 29 %, 16013 MiB
2025/02/25 12:39:11.817, 33 %, 30 %, 15949 MiB
2025/02/25 12:39:12.817, 31 %, 28 %, 16013 MiB
2025/02/25 12:39:12.818, 31 %, 27 %, 15949 MiB
2025/02/25 12:39:13.819, 29 %, 26 %, 16013 MiB
2025/02/25 12:39:13.820, 35 %, 31 %, 15949 MiB
2025/02/25 12:39:14.829, 33 %, 29 %, 16013 MiB
2025/02/25 12:39:14.830, 33 %, 30 %, 15949 MiB
2025/02/25 12:39:15.830, 34 %, 31 %, 16013 MiB
2025/02/25 12:39:15.831, 32 %, 29 %, 15949 MiB
2025/02/25 12:39:16.831, 30 %, 28 %, 16013 MiB
2025/02/25 12:39:16.832, 31 %, 28 %, 15949 MiB
2025/02/25 12:39:17.833, 35 %, 32 %, 16013 MiB
2025/02/25 12:39:17.833, 34 %, 32 %, 15949 MiB
2025/02/25 12:39:18.834, 33 %, 30 %, 16013 MiB
2025/02/25 12:39:18.834, 34 %, 31 %, 15949 MiB
2025/02/25 12:39:19.835, 32 %, 29 %, 16013 MiB
2025/02/25 12:39:19.836, 36 %, 34 %, 15949 MiB
2025/02/25 12:39:20.837, 32 %, 30 %, 16013 MiB
2025/02/25 12:39:20.838, 33 %, 31 %, 15949 MiB
2025/02/25 12:39:21.839, 36 %, 34 %, 16013 MiB
2025/02/25 12:39:21.842, 35 %, 33 %, 15949 MiB
2025/02/25 12:39:22.843, 36 %, 34 %, 16013 MiB
2025/02/25 12:39:22.847, 35 %, 33 %, 15949 MiB
2025/02/25 12:39:23.847, 37 %, 35 %, 16013 MiB
2025/02/25 12:39:23.848, 38 %, 36 %, 15949 MiB
2025/02/25 12:39:24.848, 35 %, 33 %, 16013 MiB
2025/02/25 12:39:24.849, 34 %, 33 %, 15949 MiB
2025/02/25 12:39:25.850, 37 %, 35 %, 16013 MiB
2025/02/25 12:39:25.850, 37 %, 36 %, 15949 MiB
2025/02/25 12:39:26.851, 38 %, 36 %, 16013 MiB
2025/02/25 12:39:26.851, 39 %, 38 %, 15949 MiB
2025/02/25 12:39:27.852, 38 %, 36 %, 16013 MiB
2025/02/25 12:39:27.853, 37 %, 36 %, 15949 MiB
2025/02/25 12:39:28.854, 36 %, 35 %, 16013 MiB
2025/02/25 12:39:28.855, 35 %, 35 %, 15949 MiB
2025/02/25 12:39:29.856, 39 %, 38 %, 16013 MiB
2025/02/25 12:39:29.856, 40 %, 39 %, 15949 MiB
2025/02/25 12:39:30.857, 37 %, 36 %, 16013 MiB
2025/02/25 12:39:30.858, 37 %, 37 %, 15949 MiB
2025/02/25 12:39:31.859, 37 %, 37 %, 16013 MiB
2025/02/25 12:39:31.859, 39 %, 39 %, 15949 MiB
2025/02/25 12:39:32.860, 42 %, 42 %, 16013 MiB
2025/02/25 12:39:32.861, 41 %, 41 %, 15949 MiB
2025/02/25 12:39:33.861, 38 %, 38 %, 16013 MiB
2025/02/25 12:39:33.862, 38 %, 39 %, 15949 MiB
2025/02/25 12:39:34.863, 43 %, 42 %, 16013 MiB
2025/02/25 12:39:34.863, 44 %, 44 %, 15949 MiB
2025/02/25 12:39:35.864, 41 %, 41 %, 16013 MiB
2025/02/25 12:39:35.865, 43 %, 43 %, 15949 MiB
2025/02/25 12:39:36.865, 42 %, 42 %, 16013 MiB
2025/02/25 12:39:36.866, 42 %, 42 %, 15949 MiB
2025/02/25 12:39:37.866, 45 %, 45 %, 16013 MiB
2025/02/25 12:39:37.867, 45 %, 45 %, 15949 MiB
2025/02/25 12:39:38.868, 46 %, 46 %, 16013 MiB
2025/02/25 12:39:38.868, 47 %, 48 %, 15949 MiB
2025/02/25 12:39:39.869, 41 %, 41 %, 16013 MiB
2025/02/25 12:39:39.870, 41 %, 42 %, 15949 MiB
2025/02/25 12:39:40.871, 44 %, 44 %, 16013 MiB
2025/02/25 12:39:40.872, 45 %, 46 %, 15949 MiB
2025/02/25 12:39:41.873, 43 %, 43 %, 16013 MiB
2025/02/25 12:39:41.874, 44 %, 45 %, 15949 MiB
2025/02/25 12:39:42.874, 24 %, 22 %, 16013 MiB
2025/02/25 12:39:42.875, 24 %, 23 %, 15949 MiB
2025/02/25 12:39:43.875, 28 %, 25 %, 16013 MiB
2025/02/25 12:39:43.876, 27 %, 25 %, 15949 MiB
2025/02/25 12:39:44.877, 26 %, 23 %, 16013 MiB
2025/02/25 12:39:44.877, 26 %, 23 %, 15949 MiB
2025/02/25 12:39:45.878, 27 %, 24 %, 16013 MiB
2025/02/25 12:39:45.879, 28 %, 25 %, 15949 MiB
2025/02/25 12:39:46.879, 25 %, 22 %, 16013 MiB
2025/02/25 12:39:46.880, 25 %, 22 %, 15949 MiB
2025/02/25 12:39:47.881, 19 %, 17 %, 16013 MiB
