index, timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0, 2025/02/26 09:21:40.159, 0 %, 0 %, 2 MiB
1, 2025/02/26 09:21:40.160, 0 %, 0 %, 2 MiB
0, 2025/02/26 09:21:41.161, 0 %, 0 %, 2 MiB
1, 2025/02/26 09:21:41.161, 0 %, 0 %, 2 MiB
0, 2025/02/26 09:21:42.162, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:42.163, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:43.163, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:43.164, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:44.164, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:44.165, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:45.166, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:45.166, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:46.167, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:46.168, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:47.168, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:47.169, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:48.170, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:48.170, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:49.171, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:49.172, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:50.172, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:50.173, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:51.173, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:51.218, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:52.218, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:52.219, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:53.220, 0 %, 0 %, 5 MiB
1, 2025/02/26 09:21:53.220, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:54.221, 39 %, 1 %, 2403 MiB
1, 2025/02/26 09:21:54.221, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:21:55.222, 46 %, 1 %, 7271 MiB
